City,LOC_FINAL,SAL_SP,FROG_SP,SNAKE_SP,LIZARD_SP,TURTLE_SP,RBS_OBS,AMTO_OBS,GRFR_OBS,GART_OBS,FOWL_OBS,BULL_OBS,GRAYTR_OBS,PEEP_OBS,NO_SLIMY,ERAT_OBS,NO_WAT_OBS,NO_DUSK,LINED_OBS,DEKAY_OBS,PAINT_OBS,SNAP_OBS,SKINK_OBS,type,Junevisits,Julyvisits,HABITAT_NUM,forest10,field10,stream10,pond10,area,perimeter,imperv,road_length,CONN100,CONN500,CONN1000,forestcover,wetland_types,species pool,city_imperv,city_forest
Philadelphia,Lardner's Point Park,0,1,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,8,0,0,4,Single,153,140,2,0,1,1,0,27798,897,17.6875,0,0,0.107,20.8,13.531,0,32,50.2,12.47
Philadelphia,Libery Lands Public Park,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Single,NA,NA,2,1,1,0,0,7919,394,30,0,0.002,19.7,96,1.667,0,32,50.2,12.47
Philadelphia,Lorimer Park,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Multiple,NA,NA,3,1,1,1,0,1074894,8269,0.645973154,425,0,0.162,21.5,68.763,2,32,50.2,12.47
Philadelphia,Monk's Dog Run,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Single,NA,NA,1,0,1,0,0,20275,602,38.59090909,0,0,0.705,27.8,0,0,32,50.2,12.47
Philadelphia,Morris Arboretum ,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Single,875,653,3,1,1,1,0,440472,4238,3.417695473,0,0,3.14,98.9,39.679,2,32,50.2,12.47
Philadelphia,Morris Park,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Single,875,653,3,1,1,1,0,497798,4438,1.883303411,158.023,0,0.295,39.6,63.189,2,32,50.2,12.47
Philadelphia,Neighbors Woodland,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Single,NA,NA,1,1,0,0,0,1518,156,54,0,0,12.4,268,6,0,32,50.2,12.47
Philadelphia,Penn Park,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Single,1998,1698,1,0,1,0,0,70609,1436,92.66666667,0,0.133,76.3,333,0,0,32,50.2,12.47
Philadelphia,Penn Treaty Park,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Single,580,404,2,0,1,1,0,32389,778,27.71052632,0,0.001,9.61,50.2,4.316,1,32,50.2,12.47
Philadelphia,PENNYPACK PARK,2,3,5,0,2,1,7,4,8,0,4,0,0,0,14,10,0,1,6,0,6,0,Multiple,NA,NA,3,1,1,1,0,6520810,38205,3.677374879,9625.463,0,0.099,15.2,59.615,4,32,50.2,12.47
Philadelphia,Philadelphia Zoo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,Single,7243,4973,3,1,1,0,1,209844,2309,42.21030043,1588.7,0,73.4,526,15.888,1,32,50.2,12.47
